company_id,industry
4985,['Hospitals and Health Care']
4994,['Research']
5001,['Luxury Goods & Jewelry']
5007,['Insurance']
5034,['Information Technology & Services']
5045,['Facilities Services']
5050,['Industrial Machinery Manufacturing']
5058,"['Cosmetics', 'Personal Care Product Manufacturing']"
5085,"['Transportation/Trucking/Railroad', 'Truck Transportation']"
5089,"['Automotive', 'Motor Vehicle Manufacturing']"
5098,['Oil & Energy']
5107,"['Semiconductors', 'Semiconductor Manufacturing']"
5110,['Computer Hardware']
5112,['Motor Vehicle Manufacturing']
5113,['Utilities']
5121,['Retail']
5128,['Financial Services']
5140,"['Information Technology & Services', 'IT Services and IT Consulting']"
5153,['Advertising Services']
5154,['Investment Banking']
5161,['Financial Services']
5167,['Newspaper Publishing']
5175,['IT Services and IT Consulting']
5185,['Pharmaceutical Manufacturing']
5186,['Financial Services']
5195,['Industrial Machinery Manufacturing']
5204,"['Mining & Metals', 'Mining']"
5227,['Real Estate']
5234,['Information Technology & Services']
5235,"['Human Resources', 'Human Resources Services']"
5239,['Pharmaceutical Manufacturing']
5262,['Truck Transportation']
5264,['Logistics & Supply Chain']
5274,['Higher Education']
5275,"['Medical Device', 'Medical Equipment Manufacturing']"
5294,['Financial Services']
5300,['Information Technology & Services']
5313,['Wholesale Building Materials']
5315,['Hospitals and Health Care']
5318,['Financial Services']
5327,"['Research', 'Research Services']"
5328,['Retail']
5329,['Entertainment Providers']
5343,"['Food & Beverages', 'Food and Beverage Services']"
5351,['Information Technology & Services']
5353,['Government Administration']
5355,['Security & Investigations']
5372,['Higher Education']
5377,['Wholesale Building Materials']
5394,['Motor Vehicle Manufacturing']
5410,['Retail']
5442,['Higher Education']
5461,"['Information Technology & Services', 'IT Services and IT Consulting']"
5468,['Retail']
5470,['Financial Services']
5471,['Beverage Manufacturing']
5482,"['Pharmaceuticals', 'Pharmaceutical Manufacturing']"
5489,['Higher Education']
5505,['Law Practice']
5507,['Accounting']
5508,['Law Practice']
5553,"['Food Production', 'Food and Beverage Manufacturing']"
5573,['Financial Services']
5574,"['Appliances, Electrical, and Electronics Manufacturing']"
5578,['Financial Services']
5585,"['Leisure, Travel & Tourism']"
5618,"['Apparel & Fashion', 'Retail Apparel and Fashion']"
5619,"['Health, Wellness & Fitness', 'Wellness and Fitness Services']"
5630,['Hospitals and Health Care']
5652,['Management Consulting']
5656,['Hospitals and Health Care']
5666,['Utilities']
5667,['Chemicals']
5670,"['Consumer Goods', 'Manufacturing']"
5674,['Hospitals and Health Care']
5714,['Higher Education']
5724,['Packaging and Containers Manufacturing']
5725,['Defense and Space Manufacturing']
5742,"['Management Consulting', 'Business Consulting and Services']"
5749,['Retail']
5750,['Staffing and Recruiting']
5755,['Truck Transportation']
5756,"['Transportation/Trucking/Railroad', 'Truck Transportation']"
5770,['Telecommunications']
5772,['Construction']
5775,"['Broadcast Media', 'Broadcast Media Production and Distribution']"
5790,"['Luxury Goods & Jewelry', 'Retail Luxury Goods and Jewelry']"
5805,['Food and Beverage Services']
5815,['Accounting']
5816,['Research Services']
5826,['Retail Apparel and Fashion']
5837,['Industrial Automation']
5840,['IT Services and IT Consulting']
5843,['Consumer Goods']
5845,['Industrial Machinery Manufacturing']
5848,['Utilities']
5870,['Chemical Manufacturing']
5884,['Semiconductors']
5887,"['Staffing & Recruiting', 'Staffing and Recruiting']"
5911,['Pharmaceuticals']
5913,['Utilities']
5926,['Higher Education']
5927,['Mechanical Or Industrial Engineering']
5955,"['Education Management', 'Education Administration Programs']"
5968,['Building Materials']
5970,['Chemicals']
5973,['Chemicals']
5992,['Truck Transportation']
5996,['Medical Equipment Manufacturing']
5998,['Higher Education']
6016,['Consumer Goods']
6027,['Law Practice']
6034,['Retail']
6044,"['Staffing & Recruiting', 'Staffing and Recruiting']"
6061,['Staffing and Recruiting']
6078,"['Management Consulting', 'Business Consulting and Services']"
6083,['Apparel & Fashion']
6088,"['Staffing & Recruiting', 'Staffing and Recruiting']"
6104,"['Hospital & Health Care', 'Hospitals and Health Care']"
6134,['Financial Services']
6137,"['Computer Software', 'Software Development']"
6146,['Government Administration']
6154,['Hospital & Health Care']
6176,['Retail']
6191,['Mechanical Or Industrial Engineering']
6192,['Automotive']
6194,"['Consumer Goods', 'Manufacturing']"
6205,['IT Services and IT Consulting']
6213,['Manufacturing']
6215,['Executive Office']
6226,['Higher Education']
6233,['Financial Services']
6234,"['Food Production', 'Food and Beverage Manufacturing']"
6250,"['Hospital & Health Care', 'Hospitals and Health Care']"
6265,"['Transportation/Trucking/Railroad', 'Truck Transportation']"
6281,['Higher Education']
6288,"['Internet', 'Technology, Information and Internet']"
6346,['Real Estate']
6360,['Hospital & Health Care']
6369,['Information Technology & Services']
6411,['Government Administration']
6419,"['Consumer Electronics', 'Computers and Electronics Manufacturing']"
6428,['IT Services and IT Consulting']
6440,['Medical Device']
6449,"['Management Consulting', 'Business Consulting and Services']"
6464,['Higher Education']
6476,"['Hospital & Health Care', 'Hospitals and Health Care']"
6481,"['Semiconductors', 'Semiconductor Manufacturing']"
6487,"['Hospital & Health Care', 'Hospitals and Health Care']"
6497,['Wellness and Fitness Services']
6504,['Hospital & Health Care']
6515,['Hospitals and Health Care']
6547,['Insurance']
6565,['Financial Services']
6579,['Computers and Electronics Manufacturing']
6585,['Luxury Goods & Jewelry']
6589,['Higher Education']
6592,"['Transportation/Trucking/Railroad', 'Truck Transportation']"
6593,"['Entertainment', 'Entertainment Providers']"
6609,['IT Services and IT Consulting']
6624,['Architecture and Planning']
6671,['Pharmaceutical Manufacturing']
6683,['Medical Device']
6684,['Computer Games']
6702,"['Oil & Energy', 'Oil and Gas']"
6707,['Manufacturing']
6725,"['Broadcast Media', 'Broadcast Media Production and Distribution']"
6734,"['Apparel & Fashion', 'Retail Apparel and Fashion']"
6738,"['Hospital & Health Care', 'Hospitals and Health Care']"
6765,['Law Practice']
6806,['Higher Education']
6821,['Beverage Manufacturing']
6846,['Entertainment Providers']
6848,['Oil & Energy']
6859,['Hospitality']
6863,"['Leisure, Travel & Tourism']"
6866,['Biotechnology Research']
6867,['Medical Device']
6893,['Insurance']
6905,['Hospitals and Health Care']
6910,['Higher Education']
6913,['Retail']
6915,['Financial Services']
6919,"['Information Technology & Services', 'IT Services and IT Consulting']"
6925,['Law Practice']
6963,"['Consumer Electronics', 'Computers and Electronics Manufacturing']"
6967,['Computer Software']
6976,['Travel Arrangements']
6979,"['International Trade & Development', 'International Trade and Development']"
6983,['Financial Services']
6985,['Staffing and Recruiting']
7003,['Retail Apparel and Fashion']
7027,['Real Estate']
7032,['Retail']
7043,['Staffing and Recruiting']
7058,['Software Development']
7064,['Hospitals and Health Care']
7065,['Government Administration']
7099,['Truck Transportation']
7156,['IT Services and IT Consulting']
7158,['Hospitals and Health Care']
7161,['Staffing and Recruiting']
7170,['Motor Vehicle Manufacturing']
7171,['Non-profit Organizations']
7175,['Information Technology & Services']
7189,['Advertising Services']
7197,['Manufacturing']
7242,['Retail']
7253,['Civil Engineering']
7257,['Higher Education']
7260,"['Staffing & Recruiting', 'Staffing and Recruiting']"
7268,['Computer Software']
7277,['Packaging and Containers Manufacturing']
7291,['Hospitals and Health Care']
7294,['Wholesale']
7318,['Financial Services']
7355,"['Staffing & Recruiting', 'Staffing and Recruiting']"
7357,['Insurance']
7361,['Restaurants']
7376,['Aviation and Aerospace Component Manufacturing']
7384,['Biotechnology Research']
7396,['Utilities']
7409,['Non-profit Organization Management']
7410,"['Oil & Energy', 'Oil and Gas']"
7413,"['Hospital & Health Care', 'Hospitals and Health Care']"
7425,['Aviation and Aerospace Component Manufacturing']
7427,['Insurance']
7428,['Wellness and Fitness Services']
7454,['Law Practice']
7462,['Pharmaceutical Manufacturing']
7463,['Utilities']
7466,['Financial Services']
7471,['Retail Apparel and Fashion']
7479,['Construction']
7488,['Hospital & Health Care']
7506,['Food and Beverage Manufacturing']
7507,['Luxury Goods & Jewelry']
7513,['Biotechnology Research']
7515,['Hospitals and Health Care']
7542,['Insurance']
7548,['Software Development']
7550,['Utilities']
7556,['Retail']
7585,['Staffing & Recruiting']
7601,['Oil and Gas']
7614,['Manufacturing']
7616,['Hospitals and Health Care']
7633,['Retail']
7639,['Non-profit Organization Management']
7641,['Industrial Machinery Manufacturing']
7655,['Chemicals']
7680,['Non-profit Organizations']
7684,"['Computer Software', 'Software Development']"
7701,['Defense and Space Manufacturing']
7720,['Insurance']
7737,['Entertainment Providers']
7738,['International Trade and Development']
7783,['Construction']
7789,['Retail']
7795,['Retail']
7801,"['Staffing & Recruiting', 'Staffing and Recruiting']"
7813,['Defense and Space Manufacturing']
7832,['Higher Education']
7849,['Food and Beverage Manufacturing']
7851,['Medical Device']
7886,['Environmental Services']
7896,['Motor Vehicle Manufacturing']
7917,['Hospitality']
7923,['Business Consulting and Services']
7935,['Food Production']
7947,['Advertising Services']
7960,['Financial Services']
7963,['Biotechnology Research']
7990,['Automotive']
7999,['Research Services']
8014,['Hospital & Health Care']
8017,['Chemicals']
8019,"['Management Consulting', 'Business Consulting and Services']"
8024,['Government Administration']
8031,"['Hospital & Health Care', 'Hospitals and Health Care']"
8034,"['Health, Wellness & Fitness', 'Wellness and Fitness Services']"
8058,"['Staffing & Recruiting', 'Staffing and Recruiting']"
8062,['Events Services']
8063,['Insurance']
8070,['Law Practice']
8086,['Electrical & Electronic Manufacturing']
8093,['Restaurants']
8097,['Retail']
8103,['Higher Education']
8111,['Outsourcing and Offshoring Consulting']
8117,"['Staffing & Recruiting', 'Staffing and Recruiting']"
8118,['Civic & Social Organization']
8126,['Pharmaceutical Manufacturing']
8141,"['Information Technology & Services', 'IT Services and IT Consulting']"
8181,['Law Practice']
8188,"['Staffing & Recruiting', 'Staffing and Recruiting']"
8202,['Wholesale Building Materials']
8211,['Retail']
8221,"['Internet', 'Technology, Information and Internet']"
8234,"['Packaging & Containers', 'Packaging and Containers Manufacturing']"
8236,['Advertising Services']
8258,['Law Practice']
8274,['Retail']
8276,['Biotechnology']
8280,"['Apparel & Fashion', 'Retail Apparel and Fashion']"
8281,"['Apparel & Fashion', 'Retail Apparel and Fashion']"
8288,"['Defense & Space', 'Defense and Space Manufacturing']"
8294,['Retail']
8296,['Defense and Space Manufacturing']
8299,['Staffing and Recruiting']
8315,['Machinery Manufacturing']
8323,"['Computer Software', 'Software Development']"
8336,['Financial Services']
8346,['Insurance']
8356,"['Appliances, Electrical, and Electronics Manufacturing']"
8359,['Retail']
8366,"['Medical Device', 'Medical Equipment Manufacturing']"
8367,['Information Technology & Services']
8387,['Law Practice']
8390,"['Hospital & Health Care', 'Hospitals and Health Care']"
8403,['Retail']
8434,['Truck Transportation']
8437,"['Automotive', 'Motor Vehicle Manufacturing']"
8454,['Insurance']
8455,['Banking']
