company_id,employee_count,follower_count,time_recorded
16029992,3,10,2023-08-23 18:59:00.000000000
123507,208,13328,2023-08-23 18:59:00.000000000
89930579,4,206,2023-08-23 18:59:00.000000000
701854,5708,54462,2023-08-23 18:59:00.000000000
29039424,41,4945,2023-08-23 18:59:00.000000000
10599076,297,93995,2023-08-23 18:59:00.000000000
16775,476,38407,2023-08-23 18:59:00.000000000
165747,74,22983,2023-08-23 18:59:00.000000000
29686,163,118109,2023-08-23 18:59:00.000000000
80294339,5,41,2023-08-23 18:59:00.000000000
11213065,11,316,2023-08-23 18:59:00.000000000
1091069,244,13646,2023-08-23 19:00:20.000000000
164834,9267,765364,2023-08-23 19:00:20.000000000
77129996,1,6,2023-08-23 19:00:20.000000000
15232600,5,613,2023-08-23 19:00:20.000000000
3540705,1404,107371,2023-08-23 19:00:20.000000000
2689946,237,157196,2023-08-23 19:00:20.000000000
164331,3582,258661,2023-08-23 19:00:20.000000000
7260,1200,196369,2023-08-23 19:00:20.000000000
1197199,51,18399,2023-08-23 19:00:20.000000000
2958,3157,49098,2023-08-23 19:00:20.000000000
729238,274,33488,2023-08-23 19:00:20.000000000
1179727,94,4101,2023-08-23 19:00:20.000000000
10324459,135,11818,2023-08-23 19:00:20.000000000
81350906,43,3774,2023-08-23 19:00:20.000000000
40909281,58,1309,2023-08-23 19:00:20.000000000
10801655,23951,537137,2023-08-23 19:00:20.000000000
701236,442,3527,2023-08-23 19:00:20.000000000
3384,27324,57319,2023-08-23 19:00:20.000000000
9454649,207,9525,2023-08-23 19:00:20.000000000
9180398,123,742,2023-08-23 19:00:20.000000000
3432,36660,278160,2023-08-23 19:00:20.000000000
17937,2577,515638,2023-08-23 19:00:20.000000000
7990,10315,81046,2023-08-23 19:00:20.000000000
89687784,3,139,2023-08-23 19:01:41.000000000
69419,557,2772,2023-08-23 19:01:41.000000000
10035810,26328,222400,2023-08-23 19:01:42.000000000
641035,645,18494,2023-08-23 19:01:42.000000000
165257,6638,95517,2023-08-23 19:01:42.000000000
9223341,140,9316,2023-08-23 19:01:42.000000000
14070878,264,45720,2023-08-23 19:01:42.000000000
79815,213,20539,2023-08-23 19:01:42.000000000
11056,13096,1711272,2023-08-23 19:01:42.000000000
52176410,28,23273,2023-08-23 19:01:42.000000000
10854663,26,23290,2023-08-23 19:01:42.000000000
45593,334,24530,2023-08-23 19:01:42.000000000
77757558,13,613,2023-08-23 19:01:42.000000000
76412394,70,27600,2023-08-23 19:01:42.000000000
1656268,1540,180178,2023-08-23 19:01:42.000000000
6134,428,4012,2023-08-23 19:01:42.000000000
373568,361,215051,2023-08-23 19:01:42.000000000
545751,142,100308,2023-08-23 19:01:42.000000000
29091,95,23372,2023-08-23 19:01:42.000000000
2510434,258,2403,2023-08-23 19:03:02.000000000
2756204,853,192990,2023-08-23 19:03:02.000000000
18255,3991,53270,2023-08-23 19:03:02.000000000
16742,1681,40327,2023-08-23 19:03:02.000000000
15355,13,17555,2023-08-23 19:03:02.000000000
53185587,72,1031,2023-08-23 19:03:02.000000000
6088,5006,304446,2023-08-23 19:03:02.000000000
92409,226,11942,2023-08-23 19:03:02.000000000
14407234,40,9253,2023-08-23 19:03:02.000000000
1885564,36,1905,2023-08-23 19:03:02.000000000
10035810,26328,222400,2023-08-23 19:03:02.000000000
6641761,245,3230,2023-08-23 19:03:02.000000000
5235,12457,2147585,2023-08-23 19:03:02.000000000
80705,729,3798,2023-08-23 19:03:02.000000000
40848932,3,152,2023-08-23 19:03:02.000000000
118551,43,1899,2023-08-23 19:03:02.000000000
45593,334,24531,2023-08-23 19:03:02.000000000
27057164,19,8465,2023-08-23 19:03:02.000000000
7012604,38,10318,2023-08-23 19:03:02.000000000
30186,168,2039,2023-08-23 19:03:02.000000000
24836,659,11485,2023-08-23 19:03:02.000000000
12178391,7,851,2023-08-23 19:04:24.000000000
142571,357,34013,2023-08-23 19:04:24.000000000
11243687,131,26541,2023-08-23 19:04:24.000000000
1012425,454,1610,2023-08-23 19:04:24.000000000
2394652,2488,21277,2023-08-23 19:04:24.000000000
165257,6638,95517,2023-08-23 19:04:24.000000000
82533810,3,823,2023-08-23 19:04:24.000000000
11056,13096,1711282,2023-08-23 19:04:24.000000000
6044,1954,350563,2023-08-23 19:04:24.000000000
78810685,5,95,2023-08-23 19:04:24.000000000
72456010,30,15501,2023-08-23 19:04:24.000000000
1463,83579,1460893,2023-08-23 19:04:24.000000000
29293182,6,13236,2023-08-23 19:04:24.000000000
77387513,23,24115,2023-08-23 19:04:24.000000000
11056,13096,1711283,2023-08-23 19:04:24.000000000
18476,2123,853461,2023-08-23 19:04:24.000000000
2908367,1750,164650,2023-08-23 19:04:24.000000000
2648958,12,11790,2023-08-23 19:04:24.000000000
1977034,17,1426,2023-08-23 19:04:24.000000000
316938,485,7475,2023-08-23 19:04:24.000000000
3101619,8,2086,2023-08-23 19:05:45.000000000
827183,640,484532,2023-08-23 19:05:45.000000000
7032083,118,41004,2023-08-23 19:05:45.000000000
1373835,983,4956,2023-08-23 19:05:45.000000000
15240711,1592,207242,2023-08-23 19:05:45.000000000
9187114,207,64457,2023-08-23 19:05:45.000000000
10801655,23951,537139,2023-08-23 19:05:45.000000000
74022590,15,9639,2023-08-23 19:05:45.000000000
27292,2098,679263,2023-08-23 19:05:45.000000000
34654317,31,70430,2023-08-23 19:05:45.000000000
